price,location,geo_lat,geo_lng,metro,floor,floor_count,square,living_square,kitchen_square,year,finish_type,ceiling_height,view,house_type,heating,breakdown,parking,accomodation_type,author,url
25436790,"Москва, СВАО, р-н Марьина роща, Тэйт жилой комплекс",55.8025300783107,37.62094537252544,Марьина Роща,20,49,61.89,24.2,unknown,2027,Предчистовая,3.1,unknown,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,КОРТРОС,https://www.cian.ru/sale/flat/305005751/
27927000,"Москва, ЗАО, р-н Раменки, Мичуринский просп., 21К1",55.69937,37.503729,Раменки,12,17,57.8,36.6,8.0,2000,Евроремонт,2.64,Во двор,Панельный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/303944988/
22619797,"Москва, ЗАО, р-н Кунцево, 48-й квартал, Кутузовский Квартал жилой комплекс",55.728900591784566,37.43294646961893,Кунцевская,6,44,56.57,27.6,17.8,2027,"Без отделки, предчистовая",2.92,unknown,Монолитный,unknown,unknown,unknown,Новостройка,Среда,https://www.cian.ru/sale/flat/306563127/
31700000,"Москва, ЦАО, р-н Пресненский, Ходынская ул., 2",55.770806,37.564212,Улица 1905 года,24,44,69.0,28.0,12.0,2018,Дизайнерский,unknown,Во двор,Монолитный,Индивидуальный тепловой пункт,Нет,unknown,Вторичка / Апартаменты,unknown,https://www.cian.ru/sale/flat/304329908/
73044017,"Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, 21с2",55.7496709812864,37.5340000330648,Москва,52,85,90.8,61.4,unknown,2015,-,unknown,unknown,Монолитный,unknown,unknown,unknown,Новостройка / Апартаменты,Capital Group,https://www.cian.ru/sale/flat/291360099/
32500000,"Москва, ЦАО, р-н Тверской, 2-я Брестская ул., 6",55.770811,37.591189,Маяковская,10,12,55.0,unknown,25.0,unknown,Дизайнерский,unknown,unknown,unknown,unknown,unknown,unknown,Вторичка / Апартаменты,unknown,https://www.cian.ru/sale/flat/306915055/
48763500,"Москва, СЗАО, р-н Покровское-Стрешнево, Клубный Город на Реке Примавера жилой комплекс, Вивальди квартал",55.8133713914723,37.4246699067451,Спартак,5,7,72.5,30.3,4.8,2025,Без отделки,3.08,unknown,Монолитный,unknown,unknown,unknown,Новостройка,"ООО ""СЗ ""Стадион ""Спартак""",https://www.cian.ru/sale/flat/301735403/
42000000,"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 74Б",55.711108,37.504708,Ломоносовский проспект,12,29,72.9,46.0,10.0,2017,Дизайнерский,3.0,Во двор,Монолитный,Нет информации,Нет,unknown,Вторичка / Апартаменты,unknown,https://www.cian.ru/sale/flat/306828495/
23243972,"Москва, ЮАО, р-н Даниловский, Павелецкая Сити жилой комплекс",55.718765,37.636392,Павелецкая,13,21,59.5,39.7,unknown,2027,"Без отделки, предчистовая",3.02,unknown,"Монолитно-кирпичный, монолитный, кирпичный",unknown,unknown,unknown,Новостройка,MR Group,https://www.cian.ru/sale/flat/306614294/
42000000,"Москва, САО, р-н Хорошевский, Хорошевское ш., 25Ак3",55.77634,37.525109,Хорошёвская,19,24,70.0,45.0,10.0,2020,Дизайнерский,unknown,На улицу,unknown,Индивидуальный тепловой пункт,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/300284866/
41658700,"Москва, ЗАО, р-н Раменки, проезд 4-й Сетуньский, 10Ас2",55.732445568601,37.5336225972051,Парк Победы,9,34,67.3,45.9,6.5,2028,Предчистовая,3.25,На улицу,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,Dominanta,https://www.cian.ru/sale/flat/304842169/
