price,location,metro,floor,floor_count,square,living_square,kitchen_square,year,finish_type,ceiling_height,view,accomodation_type,url
420000000,"Москва, ЦАО, р-н Хамовники, ул. Усачева, 11",Спортивная,11,14,242.97,unknown,30.0,2019,Без ремонта,unknown,unknown,Вторичка,https://www.cian.ru/sale/flat/304330047/
77000000,"Москва, ЦАО, р-н Пресненский, Зоологическая ул., 22",Баррикадная,15,25,138.0,87.2,12.9,1998,Евроремонт,unknown,Во двор,Вторичка,https://www.cian.ru/sale/flat/306751200/
10807448,"Московская область, Одинцовский городской округ, Перхушково село, Равновесие микрорайон, 5",Толстопальцево,5,6,70.6,46.8,unknown,2024,"Без отделки, предчистовая, черновая, чистовая",2.7,unknown,Новостройка,https://odintsovo.cian.ru/sale/flat/285450899/
135000000,"Москва, ЦАО, р-н Замоскворечье, Садовническая ул., 29",Новокузнецкая,2,4,110.0,unknown,25.0,2018,Евроремонт,3.25,На улицу,Вторичка / Апартаменты,https://www.cian.ru/sale/flat/306233577/
12300000,"Московская область, Видное, ул. Березовая, 18",Домодедовская,14,17,75.0,48.0,17.0,2016,Евроремонт,unknown,На улицу и двор,Вторичка,https://vidnoye.cian.ru/sale/flat/305593002/
55838250,"Москва, ЦАО, р-н Пресненский, Шмитовский проезд, 39к8",Шелепиха,18,35,115.0,110.0,unknown,2023,Без отделки,3.1,На улицу,Новостройка,https://www.cian.ru/sale/flat/306467489/
284572160,"Москва, ЦАО, р-н Хамовники, пер. Коробейников, 1",Парк Культуры,3,7,154.2,94.7,15.0,2006,Без ремонта,unknown,unknown,Вторичка,https://www.cian.ru/sale/flat/306942238/
83000000,"Москва, ЦАО, р-н Арбат, ул. Арбат, 40",Смоленская,3,5,155.0,unknown,50.0,1909,Без ремонта,3.3,unknown,Вторичка,https://www.cian.ru/sale/flat/305640017/
50884920,"Москва, СВАО, р-н Останкинский, АйЛав жилой комплекс",Алексеевская,11,24,118.89,89.2,unknown,2024,"Без отделки, предчистовая, чистовая",3.0,unknown,Новостройка,https://www.cian.ru/sale/flat/306568625/
115000000,"Москва, ЦАО, р-н Пресненский, 2-я Звенигородская ул., 16",Улица 1905 года,5,21,117.0,unknown,unknown,2022,Евроремонт,3.0,На улицу и двор,Вторичка,https://www.cian.ru/sale/flat/300822468/
19000000,"Москва, ЦАО, р-н Пресненский, Шмитовский проезд, 39к2",Шелепиха,3,15,30.0,15.0,6.0,2019,Евроремонт,3.0,Во двор,Вторичка,https://www.cian.ru/sale/flat/305010646/
173610717,"Москва, ЦАО, р-н Пресненский, ул. Костикова, 4к4",Улица 1905 года,9,15,126.3,unknown,unknown,2023,"Чистовая, чистовая с мебелью",3.0,unknown,Новостройка,https://www.cian.ru/sale/flat/306541587/
107879750,"Москва, ЦАО, р-н Пресненский, Никитский бул., 12",Арбатская,4,7,131.4,101.4,25.0,1914,Дизайнерский,unknown,unknown,Вторичка,https://www.cian.ru/sale/flat/294675252/
98000000,"Москва, ЦАО, р-н Басманный, Большой Казенный пер., 2",Курская,6,6,228.9,unknown,30.0,1997,Дизайнерский,unknown,На улицу и двор,Вторичка,https://www.cian.ru/sale/flat/305914381/
143796000,"Москва, ЦАО, р-н Тверской, 1-я Тверская-Ямская ул., 2",Маяковская,5,9,104.2,unknown,28.0,2023,Чистовая с мебелью,unknown,На улицу,Новостройка / Апартаменты,https://www.cian.ru/sale/flat/286258299/
59900000,"Москва, ЦАО, р-н Тверской, 1-я Тверская-Ямская ул., 7",Маяковская,8,9,71.3,46.0,7.0,1977,Дизайнерский,3.0,На улицу и двор,Вторичка,https://www.cian.ru/sale/flat/302543412/
105000000,"Москва, ЦАО, р-н Хамовники, пер. Сивцев Вражек, 31/13",Смоленская,2,9,188.0,109.0,13.0,1965,Косметический,3.0,На улицу и двор,Вторичка,https://www.cian.ru/sale/flat/305687453/
47661359,"Москва, САО, р-н Беговой, Ленинградский просп., вл8",Белорусская,3,36,68.6,unknown,unknown,2027,Без отделки,3.08,На улицу и двор,Новостройка,https://www.cian.ru/sale/flat/306603287/
63000000,"Москва, САО, р-н Беговой, ул. 3-я Ямского Поля, 9",Белорусская,3,6,119.0,unknown,unknown,2016,Без ремонта,4.5,Во двор,Вторичка / Апартаменты,https://www.cian.ru/sale/flat/298128369/
97000000,"Москва, ЦАО, р-н Хамовники, 3-й Обыденский пер., 2",Кропоткинская,3,5,80.8,unknown,36.4,2002,Дизайнерский,3.5,Во двор,Вторичка,https://www.cian.ru/sale/flat/306390525/
131612800,"Москва, ЦАО, р-н Замоскворечье, Космодамианская наб., 4/22С8",Новокузнецкая,2,6,74.78,unknown,unknown,2024,Без отделки,3.23,unknown,Новостройка / Апартаменты,https://www.cian.ru/sale/flat/306862266/
62500000,"Москва, САО, р-н Аэропорт, Ленинградский просп., 36с36",Петровский Парк,15,25,125.0,unknown,15.0,2019,Без ремонта,unknown,unknown,Вторичка / Апартаменты,https://www.cian.ru/sale/flat/298822106/
34500000,"Москва, ЦАО, р-н Хамовники, Фрунзенская наб., 50",Спортивная,2,16,60.0,40.0,10.0,1956,Без ремонта,3.0,Во двор,Вторичка,https://www.cian.ru/sale/flat/304870578/
25178624,"Москва, ЮЗАО, р-н Котловка, Новые Академики жилой комплекс, 31/2",Нахимовский проспект,8,13,53.25,34.6,5.1,2027,Без отделки,3.4,unknown,Новостройка,https://www.cian.ru/sale/flat/306847831/
47800000,"Москва, САО, р-н Беговой, Ленинградский просп., 29к3",Динамо,5,18,85.2,38.1,18.8,2018,Евроремонт,3.0,На улицу и двор,Вторичка,https://www.cian.ru/sale/flat/293662864/
150000000,"Москва, ЦАО, р-н Хамовники, пер. 1-й Тружеников, 17",Киевская,13,14,142.0,85.1,23.7,1992,Дизайнерский,3.0,На улицу и двор,Вторичка,https://www.cian.ru/sale/flat/306459645/
