price,location,geo_lat,geo_lng,metro,floor,floor_count,square,living_square,kitchen_square,year,finish_type,ceiling_height,view,house_type,heating,breakdown,parking,accomodation_type,author,url
49050400,"Москва, СВАО, р-н Ростокино, Союз жилой комплекс, к3",55.838496793824,37.6413400780774,Ботанический сад,15,24,90.8,unknown,25.2,2025,Без отделки,3.02,На улицу,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,Группа Родина,https://www.cian.ru/sale/flat/301313396/
53000000,"Москва, САО, р-н Беговой, Бумажный проезд, 4",55.786349,37.586437,Белорусская,14,20,94.0,70.0,15.0,2020,Дизайнерский,3.1,На улицу,Монолитный,Нет информации,Нет,unknown,Вторичка / Апартаменты,unknown,https://www.cian.ru/sale/flat/284613296/
58000000,"Москва, ЮАО, р-н Даниловский, просп. Лихачева, 18к7",55.688045,37.651556,Технопарк,6,6,86.0,36.4,16.7,2022,Без ремонта,4.5,На улицу и двор,unknown,Нет информации,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/303765580/
55746931,"Москва, ЮАО, р-н Даниловский, Подольское ш., 3",55.713248,37.62448,Тульская,12,13,104.0,93.5,5.5,2024,Предчистовая,3.0,unknown,Монолитный,unknown,unknown,unknown,Новостройка / Апартаменты,Sense Development,https://www.cian.ru/sale/flat/302633770/
67500000,"Москва, ЦАО, р-н Замоскворечье, ул. Малая Ордынка, 5/6С2-3",55.740147,37.62625,Третьяковская,2,5,88.0,48.0,8.0,1912,Дизайнерский,3.0,На улицу и двор,Кирпичный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/297681232/
70000000,"Москва, ЦАО, р-н Пресненский, Богословский пер., 7",55.763224,37.597827,Пушкинская,2,6,74.0,46.0,7.0,1977,Евроремонт,2.0,Во двор,Кирпичный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/304121621/
70000000,"Московская область, Одинцовский городской округ, Заречье рп, ул. Весенняя, 2к6",55.696083,37.40212,Озёрная,1,9,111.0,unknown,7.0,2015,Дизайнерский,4.0,На улицу и двор,Монолитный,Центральное,Нет,unknown,Вторичка,unknown,https://odintsovo.cian.ru/sale/flat/294375503/
75000000,"Москва, ЦАО, р-н Пресненский, Мерзляковский пер., 5/1",55.755023,37.59842,Арбатская,5,6,79.2,60.0,8.0,1928,Евроремонт,3.0,На улицу и двор,Кирпичный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/303019745/
77420359,"Москва, ЦАО, р-н Басманный, ул. Земляной Вал, 37",55.75589530498212,37.66034333896889,Чкаловская,17,21,96.6,44.3,26.0,2024,Чистовая,3.15,На улицу,"Монолитно-кирпичный, монолитный",unknown,unknown,unknown,Новостройка / Апартаменты,IKON Development,https://www.cian.ru/sale/flat/302839426/
77967372,"Москва, ЦАО, р-н Басманный, ул. Земляной Вал, 37",55.75589530498212,37.66034333896889,Чкаловская,18,21,94.9,43.1,25.4,2024,Чистовая,3.15,На улицу,"Монолитно-кирпичный, монолитный",unknown,unknown,unknown,Новостройка / Апартаменты,IKON Development,https://www.cian.ru/sale/flat/302839428/
90000000,"Москва, ЦАО, р-н Пресненский, Малая Бронная ул., 42/14",55.765174,37.592105,Маяковская,3,6,103.6,65.0,15.0,1914,Евроремонт,3.5,На улицу и двор,Кирпичный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/304421340/
95450000,"Москва, ЦАО, р-н Якиманка, Донская ул., 14",55.722558,37.6062,Шаболовская,5,21,83.0,60.0,15.0,2021,Дизайнерский,3.1,Во двор,Монолитный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/305021381/
99000000,"Москва, ЦАО, р-н Пресненский, Малая Бронная ул., 32",55.764197,37.593524,Маяковская,2,6,110.5,61.0,15.0,1912,Евроремонт,3.0,Во двор,Кирпичный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/295370167/
109000000,"Москва, ЗАО, р-н Дорогомилово, Виктори Парк Резиденсез жилой комплекс, 3к8",55.731379,37.516323,Парк Победы,6,10,102.8,77.0,17.0,2024,unknown,3.4,На улицу и двор,Монолитный,unknown,unknown,unknown,Новостройка,unknown,https://www.cian.ru/sale/flat/305527546/
128000000,"Москва, ЦАО, р-н Пресненский, Большая Грузинская ул., 19",55.766916,37.577139,Баррикадная,3,13,150.0,103.0,16.0,1998,Евроремонт,3.0,На улицу,unknown,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/298642379/
128750000,"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 1А",55.718816,37.525324,Ломоносовский проспект,3,8,111.0,80.0,20.0,2020,Без ремонта,3.2,Во двор,Монолитный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/300178007/
132003038,"Москва, ЦАО, р-н Замоскворечье, Балчуг Резиденс жилой комплекс, кА",55.7460699939778,37.6356241311377,Новокузнецкая,2,7,146.6,unknown,unknown,2016,Без отделки,3.25,unknown,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка / Апартаменты,unknown,https://www.cian.ru/sale/flat/292484938/
