price,location,geo_lat,geo_lng,metro,floor,floor_count,square,living_square,kitchen_square,year,finish_type,ceiling_height,view,house_type,heating,breakdown,parking,accomodation_type,author,url
716760000,"Москва, ЦАО, р-н Пресненский, ул. Костикова, 4к5",55.761518307915225,37.55560778538799,Улица 1905 года,21,21,434.4,248.3,37.9,2023,"Чистовая, чистовая с мебелью",3.0,Во двор,Монолитный,unknown,unknown,unknown,Новостройка / Пентхаус,VESPER,https://www.cian.ru/sale/flat/306541533/
400000000,"Москва, САО, р-н Беговой, ул. 3-я Ямского Поля, 9",55.781626,37.580894,Белорусская,6,6,556.4,unknown,unknown,2016,Дизайнерский,3.1,Во двор,Монолитный,Нет информации,Нет,unknown,Вторичка / Апартаменты,unknown,https://www.cian.ru/sale/flat/302655849/
3592900000,"Москва, ЦАО, р-н Хамовники, Бутиковский пер., 3",55.738769,37.603577,Парк Культуры,6,6,490.0,unknown,20.0,2004,Дизайнерский,3.2,unknown,unknown,Центральное,Нет,unknown,Вторичка / Пентхаус,unknown,https://www.cian.ru/sale/flat/306510579/
89366500,"Москва, ЮЗАО, р-н Черемушки, Херсонская ул., 43к5",55.6570116558116,37.5591316355813,Зюзино,24,32,230.0,115.5,31.2,2021,"Предчистовая, чистовая",3.1,unknown,Монолитный,unknown,unknown,unknown,Новостройка,Ташир,https://www.cian.ru/sale/flat/289534515/
462000000,"Москва, ЗАО, р-н Дорогомилово, Поклонная ул., 9",55.734334,37.525324,Парк Победы,29,34,330.0,90.6,45.3,2024,Дизайнерский,6.3,На улицу,Монолитный,unknown,unknown,unknown,Вторичка / Апартаменты,unknown,https://www.cian.ru/sale/flat/303777811/
3592900000,"Москва, ЦАО, р-н Хамовники, Бутиковский пер., 3",55.738769,37.603577,Парк Культуры,6,6,430.0,unknown,20.0,2004,Дизайнерский,3.2,На улицу и двор,unknown,Центральное,Нет,unknown,Вторичка / Пентхаус,unknown,https://www.cian.ru/sale/flat/301031491/
62202374,"Москва, ЮЗАО, р-н Котловка, Севастопольский просп., 22А",55.6786096352472,37.593640644179466,Нагорная,39,42,151.2,121.8,unknown,2023,"Без отделки, предчистовая",3.0,unknown,Монолитный,unknown,unknown,unknown,Новостройка,TEKTA GROUP,https://www.cian.ru/sale/flat/301259810/
150000000,"Москва, ЦАО, р-н Тверской, Новослободская ул., 11",55.779859,37.599372,Новослободская,17,17,350.0,239.0,15.3,2002,Дизайнерский,3.4,На улицу,unknown,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/272987516/
39300000,"Москва, ЦАО, р-н Красносельский, Милютинский пер., 20/2С1",55.765336,37.633347,Тургеневская,4,10,223.4,unknown,unknown,1914,unknown,unknown,unknown,Кирпичный,Центральное,Да,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/306859926/
306820000,"Москва, ЦАО, р-н Пресненский, ул. Красная Пресня, 3",55.7601628003045,37.5745055066058,Краснопресненская,19,20,266.8,unknown,unknown,2024,Предчистовая,unknown,unknown,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка / Апартаменты,СЗ Киноцентр,https://www.cian.ru/sale/flat/307004342/
