price,location,geo_lat,geo_lng,metro,floor,floor_count,square,living_square,kitchen_square,year,finish_type,ceiling_height,view,house_type,heating,breakdown,parking,accomodation_type,author,url
45879960,"Москва, ЮЗАО, р-н Обручевский, Эвер жилой комплекс",55.65987505964476,37.53329669074726,Воронцовская,7,34,84.9,56.4,unknown,2025,"Без отделки, предчистовая",3.0,unknown,Монолитный,unknown,unknown,unknown,Новостройка,TEKTA GROUP,https://www.cian.ru/sale/flat/303224369/
45984732,"Москва, ЗАО, р-н Раменки, просп. Генерала Дорохова, вл1к1",55.708197,37.492742,Раменки,35,52,108.6,72.0,5.7,2024,Без отделки,3.1,unknown,Монолитный,unknown,unknown,unknown,Новостройка,СЗ Минские холмы,https://www.cian.ru/sale/flat/300673201/
46104867,"Москва, СЗАО, р-н Хорошево-Мневники, Сидней Сити жилой комплекс, к5/2",55.7669319256023,37.50625775042,Звенигородская откроется,2,43,98.6,44.9,6.3,2025,"Без отделки, предчистовая, чистовая",3.15,unknown,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,ГК ФСК,https://www.cian.ru/sale/flat/303401089/
46132535,"Москва, ЮАО, р-н Даниловский, наб. Марка Шагала, 15к1",55.6874158371173,37.6435511679827,ЗИЛ,3,17,121.1,65.4,23.6,2024,Без отделки,3.12,unknown,"Монолитно-кирпичный, монолитный",unknown,unknown,unknown,Новостройка,Группа Эталон,https://www.cian.ru/sale/flat/306036451/
46144990,"Москва, ЗАО, р-н Можайский, ул. Петра Алексеева, 14",55.71644461415776,37.429388023313194,Славянский бульвар,29,29,134.39,unknown,19.6,2023,"Без отделки, чистовая",3.3,Во двор,Монолитный,unknown,unknown,unknown,Новостройка,ГК Инград,https://www.cian.ru/sale/flat/304079215/
46707675,"Москва, СЗАО, р-н Хорошево-Мневники, Сидней Сити жилой комплекс, к6/3",55.766334,37.504403,Звенигородская откроется,25,42,90.3,60.1,6.2,2027,"Без отделки, предчистовая, чистовая",3.15,unknown,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,ГК ФСК,https://www.cian.ru/sale/flat/306049733/
46675000,"Москва, НАО (Новомосковский), ул. 1-я Ватутинская, 12к2",55.504211,37.32262,Прокшино,13,13,137.5,72.1,7.1,2023,Без отделки,3.1,unknown,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,Группа Родина,https://www.cian.ru/sale/flat/293200691/
46562531,"Москва, ЗАО, р-н Раменки, Вилл Тауэрс жилой комплекс",55.7099667786522,37.493476306313,Минская,48,56,113.0,79.3,5.0,2024,Без отделки,3.1,unknown,Монолитный,unknown,unknown,unknown,Новостройка,СЗ Минские холмы,https://www.cian.ru/sale/flat/304592708/
46687855,"Москва, ЮАО, р-н Даниловский, Шагал жилой комплекс, 3-я очередь, к3",55.690359,37.639931,ЗИЛ,2,5,140.9,80.1,6.2,2025,Без отделки,3.57,unknown,"Монолитно-кирпичный, монолитный",unknown,unknown,unknown,Новостройка,Группа Эталон,https://www.cian.ru/sale/flat/303393055/
46568154,"Москва, ЗАО, р-н Можайский, ул. Петра Алексеева, 14",55.71644461415776,37.429388023313194,Славянский бульвар,26,29,122.71,unknown,13.3,2023,"Без отделки, чистовая",3.3,Во двор,Монолитный,unknown,unknown,unknown,Новостройка,ГК Инград,https://www.cian.ru/sale/flat/304079207/
30453738,"Москва, СЗАО, р-н Хорошево-Мневники, Левел Звенигородская жилой комплекс",55.7689980396561,37.501083652778,Хорошёво,36,64,90.7,68.1,unknown,2028,"Без отделки, предчистовая, чистовая",2.7,На улицу,Монолитный,unknown,unknown,unknown,Новостройка,Level Group,https://www.cian.ru/sale/flat/306792954/
46906560,"Москва, ЮВАО, р-н Лефортово, Символ жилой комплекс",55.7525822820176,37.6891111264757,Римская,12,27,109.8,45.8,35.9,2025,"Без отделки, чистовая, чистовая с мебелью",3.1,На улицу и двор,Монолитный,unknown,unknown,unknown,Новостройка,ДОНСТРОЙ,https://www.cian.ru/sale/flat/306643170/
46833600,"Москва, САО, р-н Хорошевский, 3-й Хорошевский проезд, 3АС18",55.769874241439354,37.536393309947286,Беговая,35,46,88.7,58.6,8.3,2027,"Без отделки, предчистовая, чистовая",4.5,unknown,Монолитный,unknown,unknown,unknown,Новостройка,ГК ФСК,https://www.cian.ru/sale/flat/306872494/
47099900,"Москва, НАО (Новомосковский), ул. 1-я Ватутинская, 12к2",55.504211,37.32262,Прокшино,13,13,127.1,67.0,10.3,2023,Без отделки,3.1,unknown,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,Группа Родина,https://www.cian.ru/sale/flat/293200674/
47636400,"Москва, СВАО, р-н Марфино, Ботаническая ул., 29Ак3",55.8339522657528,37.5921917202368,Улица Милашенкова,3,31,111.3,80.4,25.9,2024,"Без отделки, черновая",3.2,Во двор,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,ГК Основа,https://www.cian.ru/sale/flat/297432219/
30959013,"Москва, СЗАО, р-н Хорошево-Мневники, Левел Звенигородская жилой комплекс",55.7691885564274,37.5001341507865,Хорошёво,3,48,101.8,unknown,unknown,2028,"Без отделки, предчистовая, чистовая",2.72,На улицу,Монолитный,unknown,unknown,unknown,Новостройка,Level Group,https://www.cian.ru/sale/flat/306793366/
47292990,"Москва, ЮВАО, р-н Лефортово, бул. Сенкевича",55.75277948979924,37.69044739307723,Римская,27,27,104.7,61.0,19.5,2025,"Без отделки, чистовая, чистовая с мебелью",3.5,unknown,Монолитный,unknown,unknown,unknown,Новостройка,ДОНСТРОЙ,https://www.cian.ru/sale/flat/306642862/
47660600,"Москва, НАО (Новомосковский), ул. 1-я Ватутинская, 14к1",55.504822,37.32279,Прокшино,13,13,126.9,70.7,12.8,2023,Без отделки,3.1,unknown,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,Группа Родина,https://www.cian.ru/sale/flat/293200732/
