price,location,geo_lat,geo_lng,metro,floor,floor_count,square,living_square,kitchen_square,year,finish_type,ceiling_height,view,house_type,heating,breakdown,parking,accomodation_type,author,url
55838250,"Москва, ЦАО, р-н Пресненский, Шмитовский проезд, 39к8",55.75166,37.526286,Шелепиха,18,35,115.0,110.0,unknown,2023,Без отделки,3.1,На улицу,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,КОРТРОС,https://www.cian.ru/sale/flat/306467489/
313480525,"Москва, ЗАО, р-н Очаково-Матвеевское, Нежинская ул., 1к1",55.718973,37.478908,Давыдково,26,31,246.7,140.9,28.0,2008,Дизайнерский,3.1,unknown,unknown,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/301450189/
987184440,"Москва, ЦАО, р-н Пресненский, Большая Никитская ул., 9",55.756153,37.60664,Арбатская,3,5,235.4,122.0,16.8,2023,Чистовая с мебелью,3.0,На улицу и двор,Монолитный,unknown,unknown,unknown,Новостройка,Intermark Real Estate,https://www.cian.ru/sale/flat/304373926/
50884920,"Москва, СВАО, р-н Останкинский, АйЛав жилой комплекс",55.810164924792,37.6271969751847,Алексеевская,11,24,118.89,89.2,unknown,2024,"Без отделки, предчистовая, чистовая",3.0,unknown,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,КОРТРОС,https://www.cian.ru/sale/flat/306568625/
83000000,"Москва, ЦАО, р-н Арбат, ул. Арбат, 40",55.748442,37.587578,Смоленская,3,5,155.0,unknown,50.0,1909,Без ремонта,3.3,unknown,Кирпичный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/305640017/
115000000,"Москва, ЦАО, р-н Хамовники, Всеволожский пер., 3",55.742509,37.598708,Кропоткинская,6,6,146.3,unknown,15.0,1914,Дизайнерский,unknown,На улицу и двор,Кирпичный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/305494793/
458234336,"Москва, ЦАО, р-н Пресненский, 2-я Звенигородская ул., 14",55.762809,37.555391,Улица 1905 года,19,21,306.7,unknown,unknown,2023,"Чистовая, чистовая с мебелью",unknown,unknown,Монолитный,unknown,unknown,unknown,Новостройка,VESPER,https://www.cian.ru/sale/flat/306541580/
341165000,"Москва, ЦАО, р-н Хамовники, Зубовская ул., 7",55.736934,37.583365,Парк Культуры,6,6,310.15,196.9,22.7,2023,Без ремонта,4.55,На улицу и двор,Монолитно-кирпичный,unknown,unknown,unknown,Вторичка / Апартаменты,unknown,https://www.cian.ru/sale/flat/299517098/
80000000,"Москва, ЦАО, р-н Якиманка, ул. Серафимовича, 2",55.74446,37.613018,Боровицкая,5,12,130.0,92.0,8.0,1933,Евроремонт,3.4,На улицу и двор,Кирпичный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/299208820/
66966060,"Москва, ЮЗАО, р-н Котловка, Севастопольский просп., 22А",55.6781903183334,37.5927703788458,Нагорная,41,42,147.4,121.9,unknown,2023,"Без отделки, предчистовая",3.3,unknown,Монолитный,unknown,unknown,unknown,Новостройка,TEKTA GROUP,https://www.cian.ru/sale/flat/306478596/
150000000,"Москва, ЦАО, р-н Тверской, Новослободская ул., 11",55.779859,37.599372,Новослободская,17,17,350.0,unknown,16.0,2002,Евроремонт,unknown,unknown,unknown,Центральное,Нет,unknown,Вторичка / Пентхаус,unknown,https://www.cian.ru/sale/flat/291161841/
9700000,"Московская область, Воскресенск, Лопатинский микрорайон, пер. Юбилейный, 8",55.341413,38.717461,unknown,9,10,140.0,82.0,15.0,2013,Евроремонт,2.7,На улицу,Монолитный,Центральное,Нет,unknown,Вторичка,unknown,https://voskresensk.cian.ru/sale/flat/303391991/
207000000,"Москва, ЗАО, р-н Филевский парк, Береговой проезд, 2",55.7597681819349,37.5078063512008,Фили,24,24,172.5,104.6,10.5,2024,Без отделки,3.2,На улицу,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,Главстрой,https://www.cian.ru/sale/flat/296921235/
105000000,"Москва, ЦАО, р-н Хамовники, пер. Сивцев Вражек, 31/13",55.746897,37.590183,Смоленская,2,9,188.0,109.0,13.0,1965,Косметический,3.0,На улицу и двор,Панельный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/305687453/
494023750,"Москва, ЦАО, р-н Хамовники, Трубецкая ул., 12",55.726568,37.575378,Фрунзенская,11,12,303.0,117.0,24.0,2014,Дизайнерский,3.2,Во двор,Кирпичный,Индивидуальный тепловой пункт,Нет,unknown,Вторичка / Пентхаус,unknown,https://www.cian.ru/sale/flat/275836899/
61322050,"Москва, ЗАО, Рублево-Архангельское микрорайон, Сберсити жилой комплекс, В14 квартал",55.7908119823523,37.3416416480392,Павшино,1,10,148.3,83.2,6.0,2026,"Без отделки, чистовая",2.9,unknown,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,Рублево-Архангельское,https://www.cian.ru/sale/flat/306334776/
106990000,"Москва, ЦАО, р-н Пресненский, Мерзляковский пер., 15",55.756721,37.59648,Арбатская,2,4,203.3,186.7,11.6,1900,Дизайнерский,3.6,unknown,Кирпичный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/304695239/
47000000,"Москва, СВАО, р-н Останкинский, ул. Академика Королева, 4К1",55.822544,37.629143,Улица Академика,11,21,135.0,97.0,25.0,1989,Дизайнерский,unknown,На улицу и двор,unknown,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/305953005/
473400000,"Москва, ЦАО, р-н Якиманка, Софийская наб., 34С3",55.7463922322426,37.622796830688,Новокузнецкая,3,6,236.7,unknown,unknown,2026,Без отделки,3.03,unknown,Монолитный,unknown,unknown,unknown,Новостройка,Hutton Development,https://www.cian.ru/sale/flat/303616466/
170000000,"Москва, ЦАО, р-н Хамовники, Смоленский бул., 24к3",55.742853,37.585763,Смоленская,5,7,185.0,155.0,20.0,2015,Без ремонта,3.4,На улицу и двор,Монолитный,Индивидуальный тепловой пункт,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/305266581/
260485250,"Москва, ЦАО, р-н Пресненский, Тверской бул., 16С5",55.759876,37.602292,Тверская,8,9,160.0,101.0,15.0,1999,Евроремонт,3.2,Во двор,unknown,Нет информации,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/284305260/
59979660,"Москва, ЮАО, р-н Даниловский, Эра жилой комплекс, 2",55.720317,37.645968,Пролетарская,16,32,117.4,79.3,unknown,2026,"Без отделки, предчистовая",3.15,unknown,Монолитный,unknown,unknown,unknown,Новостройка,TEKTA GROUP,https://www.cian.ru/sale/flat/306368159/
90000000,"Москва, ЗАО, р-н Раменки, ул. Улофа Пальме, 1с7",55.718375,37.511975,Минская,14,18,220.0,unknown,20.0,2000,Дизайнерский,2.9,На улицу и двор,Монолитный,unknown,unknown,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/295660041/
99650000,"Москва, ЦАО, р-н Красносельский, Сретенский бул., 6/1С2",55.765924,37.634982,Тургеневская,5,5,189.0,unknown,unknown,1901,Дизайнерский,4.0,На улицу и двор,Кирпичный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/298868215/
