price,location,geo_lat,geo_lng,metro,floor,floor_count,square,living_square,kitchen_square,year,finish_type,ceiling_height,view,house_type,heating,breakdown,parking,accomodation_type,author,url,room_count
18374400,"Москва, СВАО, р-н Марьина роща, Тэйт жилой комплекс",55.8025300783107,37.62094537252544,Марьина Роща,34,49,38.28,11.8,unknown,2027,Предчистовая,3.12,unknown,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,КОРТРОС,https://www.cian.ru/sale/flat/302789697/,1
49954800,"Москва, ЦАО, р-н Таганский, Славянская пл., 2/5с1",55.752541,37.635727,Китай,7,8,53.2,unknown,24.1,2022,Евроремонт,3.0,unknown,Монолитно-кирпичный,unknown,unknown,unknown,Вторичка / Апартаменты,unknown,https://www.cian.ru/sale/flat/301496936/,1
8170000,"Москва, НАО (Новомосковский), Филимонковское поселение, ул. Жемчужная, 1к4",55.552637,37.337172,Филатов Луг,2,5,31.0,unknown,10.0,2021,Дизайнерский,3.0,Во двор,unknown,Нет информации,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/303552909/,1
20206500,"Москва, СВАО, р-н Останкинский, ул. Годовикова, 11к5",55.810466,37.624247,Алексеевская,34,37,28.5,21.4,unknown,2024,"Без отделки, предчистовая, чистовая",3.01,На улицу,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,КОРТРОС,https://www.cian.ru/sale/flat/306568424/,1
17119620,"Москва, ЮАО, р-н Даниловский, Автозаводская ул., 26",55.70659736274,37.6322846801478,Тульская,6,20,38.82,10.6,18.6,2024,unknown,2.85,Во двор,Монолитный,unknown,unknown,unknown,Новостройка,unknown,https://www.cian.ru/sale/flat/305679800/,1
7550000,"Москва, НАО (Новомосковский), Филимонковское поселение, ул. Жемчужная, 1к14",55.551456,37.339499,Филатов Луг,2,5,30.0,15.0,9.0,2021,Дизайнерский,2.8,Во двор,unknown,Нет информации,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/306451520/,1
14757511,"Москва, СЗАО, р-н Покровское-Стрешнево, Волоколамское ш., 95/1к6",55.829921,37.406711,Трикотажная,2,27,40.1,12.9,unknown,2027,Предчистовая,2.85,Во двор,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,MR Group,https://www.cian.ru/sale/flat/306515308/,1
36000000,"Москва, САО, р-н Хорошевский, Ленинградский просп., 37/4",55.793313,37.540533,ЦСКА,5,40,40.0,unknown,unknown,2021,Дизайнерский,3.2,На улицу и двор,Монолитный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/304681968/,1
9000000,"Москва, НАО (Новомосковский), Внуковское поселение, ул. Летчика Грицевца, 7",55.62301,37.307411,Пыхтино,4,17,37.1,unknown,7.3,2013,Косметический,unknown,На улицу,Панельный,Индивидуальный тепловой пункт,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/306808870/,1
5994720,"Московская область, Одинцовский городской округ, Перхушково село, Равновесие микрорайон",55.6538848796601,37.1203557553635,Толстопальцево,2,6,36.2,13.8,unknown,2026,"Без отделки, предчистовая, черновая, чистовая",2.7,unknown,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,КОРТРОС,https://odintsovo.cian.ru/sale/flat/301555506/,1
28100000,"Москва, ЦАО, р-н Пресненский, Ходынская ул., 2",55.770806,37.564212,Улица 1905 года,2,44,57.0,44.0,8.0,2018,Дизайнерский,unknown,На улицу,Монолитный,Индивидуальный тепловой пункт,Нет,unknown,Вторичка / Апартаменты,unknown,https://www.cian.ru/sale/flat/298880305/,1
10800000,"Москва, ЮАО, р-н Даниловский, Автозаводская ул., 23С928",55.702313,37.640632,Автозаводская,3,4,45.0,unknown,10.0,unknown,Дизайнерский,unknown,Во двор,unknown,unknown,unknown,unknown,Вторичка / Апартаменты,unknown,https://www.cian.ru/sale/flat/303618522/,1
78259545,"Москва, ЦАО, р-н Пресненский, ул. Костикова, 4к1",55.7612846731082,37.5573009849619,Улица 1905 года,5,21,65.9,18.8,24.9,2023,"Чистовая, чистовая с мебелью",3.0,На улицу,Монолитный,unknown,unknown,unknown,Новостройка,VESPER,https://www.cian.ru/sale/flat/306541560/,1
30900000,"Москва, ЗАО, р-н Раменки, Винницкая ул., 8к3",55.700983,37.493479,Раменки,15,28,40.0,unknown,18.0,2022,Дизайнерский,3.12,На улицу,Монолитный,Индивидуальный тепловой пункт,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/306537307/,1
11900000,"Москва, СВАО, р-н Отрадное, Юрловский проезд, 14к1",55.877788,37.613566,Бибирево,8,17,37.0,19.0,7.1,2011,Косметический,2.74,На улицу и двор,Панельный,Автономная котельная,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/303859491/,1
134746500,"Москва, ЦАО, р-н Тверской, 1-я Тверская-Ямская ул., 2",55.7710883704405,37.5948676266339,Маяковская,7,9,93.9,unknown,41.3,2023,"Без отделки, чистовая с мебелью",unknown,unknown,Монолитный,unknown,unknown,unknown,Новостройка / Апартаменты,VESPER,https://www.cian.ru/sale/flat/306599727/,1
32000000,"Москва, САО, р-н Хорошевский, Ленинградский просп., 37/4",55.793313,37.540533,ЦСКА,9,40,41.5,23.4,4.9,2021,unknown,unknown,На улицу и двор,Монолитный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/299890518/,1
14990000,"Москва, ЮВАО, р-н Нижегородский, Газгольдерная ул., 10",55.727192,37.735746,Нижегородская,24,25,39.0,unknown,16.0,2023,Дизайнерский,2.6,На улицу и двор,unknown,Нет информации,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/306525090/,1
29486364,"Москва, САО, р-н Беговой, Ленинградский просп., вл8",55.78085421861,37.5826308664078,Белорусская,3,36,40.8,unknown,unknown,2027,Без отделки,3.08,На улицу и двор,Монолитный,unknown,unknown,unknown,Новостройка,MR Group,https://www.cian.ru/sale/flat/306603306/,1
27000000,"Москва, СЗАО, р-н Хорошево-Мневники, Шелепихинская наб., 34к5",55.764496,37.51149,Шелепиха,6,42,42.0,17.0,11.0,2023,Дизайнерский,3.2,Во двор,unknown,Нет информации,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/307014462/,1
4960000,"Москва, СВАО, р-н Марфино, Малая Ботаническая ул., 10А",55.833016,37.588817,Фонвизинская,4,4,16.0,11.0,3.0,1961,Евроремонт,2.8,Во двор,Кирпичный,unknown,unknown,unknown,Вторичка / Апартаменты,unknown,https://www.cian.ru/sale/flat/305916876/,1
