price,location,metro,floor,floor_count,square,living_square,kitchen_square,year,finish_type,ceiling_height,view,accomodation_type,url
78000000,"Москва, ЦАО, р-н Тверской, 1-я Тверская-Ямская ул., 2",Маяковская,8,9,60.7,unknown,30.0,2023,Дизайнерский,unknown,На улицу,Вторичка / Апартаменты,https://www.cian.ru/sale/flat/305600102/
78900000,"Москва, ЦАО, р-н Красносельский, ул. Сретенка, 26/1",Сухаревская,5,5,133.0,70.0,20.3,1913,Дизайнерский,3.6,На улицу и двор,Вторичка,https://www.cian.ru/sale/flat/303816670/
80000000,"Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, 22с1",Деловой центр,37,79,78.0,50.0,15.0,2019,Дизайнерский,unknown,На улицу и двор,Вторичка / Апартаменты,https://www.cian.ru/sale/flat/301042655/
85000000,"Москва, ЦАО, р-н Арбат, Новинский бул., 28/35С1",Баррикадная,7,7,140.0,unknown,unknown,1952,Дизайнерский,unknown,unknown,Вторичка,https://www.cian.ru/sale/flat/298383016/
85000000,"Москва, ЦАО, р-н Якиманка, Мытная ул., 40к2",Серпуховская,5,22,120.0,75.0,40.0,2021,Дизайнерский,3.1,unknown,Вторичка,https://www.cian.ru/sale/flat/306226586/
85000000,"Москва, ЦАО, р-н Замоскворечье, Мытная ул., 7с1",Серпуховская,3,17,97.5,unknown,unknown,2013,Дизайнерский,3.1,Во двор,Вторичка,https://www.cian.ru/sale/flat/303869601/
84900000,"Москва, ЗАО, р-н Раменки, просп. Генерала Дорохова, 39к1Б",Минская,13,14,94.0,66.0,10.0,2023,Евроремонт,unknown,На улицу и двор,Вторичка,https://www.cian.ru/sale/flat/303580707/
86988700,"Москва, ЗАО, р-н Раменки, просп. Генерала Дорохова, 39к1Г",Минская,7,14,128.0,83.0,20.0,unknown,Без ремонта,unknown,Во двор,Вторичка,https://www.cian.ru/sale/flat/303321163/
94000000,"Москва, ЦАО, р-н Арбат, ул. Арбат, 43С3",Смоленская,3,4,133.0,110.0,10.0,2001,Дизайнерский,unknown,Во двор,Вторичка,https://www.cian.ru/sale/flat/305284500/
94990000,"Москва, ЦАО, р-н Красносельский, Сретенский бул., 6/1С1",Тургеневская,2,5,206.0,138.0,20.0,1901,Косметический,3.95,На улицу и двор,Вторичка,https://www.cian.ru/sale/flat/300539727/
95000000,"Москва, ЦАО, р-н Пресненский, наб. Пресненская, 8с1",Деловой центр,30,73,185.0,unknown,unknown,2009,Дизайнерский,unknown,unknown,Вторичка / Апартаменты,https://www.cian.ru/sale/flat/301402981/
96705000,"Москва, ЗАО, р-н Раменки, просп. Генерала Дорохова, 39к1",Минская,8,13,92.1,unknown,unknown,2023,Дизайнерский,3.1,unknown,Вторичка,https://www.cian.ru/sale/flat/295915768/
98000000,"Москва, СЗАО, р-н Покровское-Стрешнево, Волоколамское ш., 60К2",Щукинская,16,17,141.0,unknown,unknown,2000,Дизайнерский,3.2,unknown,Вторичка,https://www.cian.ru/sale/flat/298645481/
98000000,"Москва, ЦАО, р-н Пресненский, Краснопресненская наб., 14Ак3",Москва,37,65,118.2,59.5,15.0,2022,Дизайнерский,3.8,unknown,Вторичка,https://www.cian.ru/sale/flat/301402983/
99000000,"Москва, ЗАО, р-н Раменки, Мичуринский просп., 29",Раменки,17,19,345.0,272.0,68.0,1996,Дизайнерский,3.1,unknown,Вторичка / Пентхаус,https://www.cian.ru/sale/flat/302443878/
110000000,"Москва, ЦАО, р-н Якиманка, Мытная ул., 40к1",Серпуховская,17,22,130.0,82.0,43.0,2020,Дизайнерский,3.0,unknown,Вторичка,https://www.cian.ru/sale/flat/304424116/
